method,period,ann_return,sharpe,max_dd,excess_vs_cdi
EqualWeight,2005-2010,5.3,0.44,-29.17,-8.28
EqualWeight,2010-2015,1.69,0.22,-13.98,-8.03
EqualWeight,2015-2020,16.9,1.32,-14.08,7.04
EqualWeight,2020-present,9.62,0.61,-34.61,-0.03
EqualWeight,Full,8.31,0.65,-34.61,-2.32
InvVol,2005-2010,6.28,0.52,-26.76,-7.3
InvVol,2010-2015,2.71,0.35,-11.93,-7.0
InvVol,2015-2020,15.96,1.27,-13.91,6.11
InvVol,2020-present,9.3,0.6,-34.45,-0.35
InvVol,Full,8.5,0.67,-34.45,-2.13
ERC,2005-2010,6.56,0.55,-25.51,-7.02
ERC,2010-2015,2.99,0.39,-10.65,-6.73
ERC,2015-2020,15.93,1.27,-13.93,6.07
ERC,2020-present,9.18,0.6,-34.33,-0.47
ERC,Full,8.59,0.68,-34.33,-2.04
HRP,2005-2010,7.6,0.64,-22.02,-5.98
HRP,2010-2015,3.73,0.5,-10.41,-5.98
HRP,2015-2020,14.81,1.21,-14.16,4.95
HRP,2020-present,9.15,0.6,-34.62,-0.49
HRP,Full,8.77,0.71,-34.62,-1.86
DynRollSharpe,2005-2010,11.86,4.47,-0.85,-1.72
DynRollSharpe,2010-2015,8.13,3.84,-1.53,-1.59
DynRollSharpe,2015-2020,11.35,3.23,-4.83,1.49
DynRollSharpe,2020-present,7.49,1.24,-14.19,-2.16
DynRollSharpe,Full,9.57,2.34,-14.19,-1.06
DynRegime,2005-2010,20.03,2.88,-3.49,6.46
DynRegime,2010-2015,6.23,1.15,-8.0,-3.49
DynRegime,2015-2020,14.3,1.82,-8.32,4.45
DynRegime,2020-present,10.95,1.11,-17.52,1.31
DynRegime,Full,12.67,1.59,-17.52,2.04
DynCombined,2005-2010,26.33,2.59,-4.16,12.75
DynCombined,2010-2015,6.55,1.17,-8.27,-3.16
DynCombined,2015-2020,15.2,1.76,-8.4,5.34
DynCombined,2020-present,11.89,1.16,-17.52,2.25
DynCombined,Full,14.61,1.62,-17.52,3.98
